"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an error message is displayed for various incorrect login combinations.","385","test_login_with_invalid_credentials[chromium-wrong@email.com-admin123]","tests.ui.ecommerce","Tue Dec 09 14:10:48 UTC 2025","passed","Tue Dec 09 14:10:48 UTC 2025","","test_login_negative","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product3]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[wrong@email.com-admin123]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verifies that a single product can be added to the cart and its details are correct.","1393","test_add_to_cart_phone[chromium-product0]","tests.ui.ecommerce","Tue Dec 09 14:10:45 UTC 2025","passed","Tue Dec 09 14:10:47 UTC 2025","","test_add_to_cart","",""
"This test verifies if items returned as the response are of correct types","258","Test GET /api/v1/employees endpoint id","tests.api","Tue Dec 09 14:10:44 UTC 2025","passed","Tue Dec 09 14:10:45 UTC 2025","TestGetAPI","test_get_employees","",""
"Verifies that a user can log in successfully and is redirected to the shopping page.","433","test_login_successfully[chromium]","tests.ui.ecommerce","Tue Dec 09 14:10:48 UTC 2025","passed","Tue Dec 09 14:10:49 UTC 2025","","test_login_succesfull","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product2]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[admin@admin.com-!nC0r3cTT?]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verifies that all products can be added to the cart and the total price is calculated correctly.","0","test_add_to_cart_all_phones","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","402","test_login_with_invalid_credentials[chromium-admin@admin.com-!nC0r3cTT?]","tests.ui.ecommerce","Tue Dec 09 14:10:50 UTC 2025","passed","Tue Dec 09 14:10:50 UTC 2025","","test_login_negative","",""
"This test verifies that the API returns a proper error code when sending bad request","177","Test GET /api/v1/employees endpoint with bad request","tests.api","Tue Dec 09 14:10:44 UTC 2025","passed","Tue Dec 09 14:10:44 UTC 2025","TestGetAPI","test_get_employees","",""
"This test verifies that the API accepts POST request and allows creating new employees","186","Test POST /api/v1/employees endpoint","tests.api","Tue Dec 09 14:10:45 UTC 2025","passed","Tue Dec 09 14:10:45 UTC 2025","TestPostEmployees","test_post_employees","",""
"This test verifies the full process of removing a product from the shopping cart after it has been added.","0","E-commerce: Remove Product from Cart","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_remove_from_cart","",""
"Verifies that a single product can be added to the cart and its details are correct.","464","test_add_to_cart_phone[chromium-product1]","tests.ui.ecommerce","Tue Dec 09 14:10:49 UTC 2025","passed","Tue Dec 09 14:10:50 UTC 2025","","test_add_to_cart","",""
"Verifies that a single product can be added to the cart and its details are correct.","3825","test_add_to_cart_phone[chromium-product0]","","Tue Dec 09 13:06:25 UTC 2025","passed","Tue Dec 09 13:06:28 UTC 2025","","","",""
"Verify that an error message is displayed for various incorrect login combinations.","0","test_login_with_invalid_credentials[wrong@email.com-!nC0r3cTT?]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_negative","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product0]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verifies that a single product can be added to the cart and its details are correct.","446","test_add_to_cart_phone[chromium-product2]","tests.ui.ecommerce","Tue Dec 09 14:10:50 UTC 2025","passed","Tue Dec 09 14:10:50 UTC 2025","","test_add_to_cart","",""
"This test verifies that the API returns a list of all employees successfully.","27","Test GET /api/v1/employees endpoint","tests.api","Tue Dec 09 14:10:44 UTC 2025","broken","Tue Dec 09 14:10:44 UTC 2025","TestGetAPI","test_get_employees","",""
"Verifies that a single product can be added to the cart and its details are correct.","1079","test_add_to_cart_phone[chromium-product3]","tests.ui.ecommerce","Tue Dec 09 14:10:51 UTC 2025","passed","Tue Dec 09 14:10:52 UTC 2025","","test_add_to_cart","",""
"Verify that an error message is displayed for various incorrect login combinations.","417","test_login_with_invalid_credentials[chromium-wrong@email.com-!nC0r3cTT?]","tests.ui.ecommerce","Tue Dec 09 14:10:51 UTC 2025","passed","Tue Dec 09 14:10:51 UTC 2025","","test_login_negative","",""
"Verifies that a user can log in successfully and is redirected to the shopping page.","0","test_login_successfully","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_login_succesfull","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product1]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verifies that a single product can be added to the cart and its details are correct.","0","test_add_to_cart_phone[product4]","tests.ui.ecommerce","Thu Dec 04 10:28:50 UTC 2025","broken","Thu Dec 04 10:28:50 UTC 2025","","test_add_to_cart","",""
"Verifies that a single product can be added to the cart and its details are correct.","814","test_add_to_cart_phone[chromium-product4]","tests.ui.ecommerce","Tue Dec 09 14:10:52 UTC 2025","passed","Tue Dec 09 14:10:53 UTC 2025","","test_add_to_cart","",""
"Verifies that all products can be added to the cart and the total price is calculated correctly.","974","test_add_to_cart_all_phones[chromium]","tests.ui.ecommerce","Tue Dec 09 14:10:47 UTC 2025","passed","Tue Dec 09 14:10:48 UTC 2025","","test_add_to_cart","",""
"This test verifies the full process of removing a product from the shopping cart after it has been added.","489","E-commerce: Remove Product from Cart","tests.ui.ecommerce","Tue Dec 09 14:10:49 UTC 2025","passed","Tue Dec 09 14:10:49 UTC 2025","","test_remove_from_cart","",""
